name,isMunicipality,architecturalTownPlan,accountancyBusinessAdmin,education,engineeringMathematics,fineAppliedArts,socialScienceHumanities,informationTech,lawJurisprudence,massCommunicationDocu,medicalAllied,naturalScience,serviceTrades,higherEducationOthers,agriForestFishVetMed,homeEconomicsHE,maritime,religionTheology,tradeCraftIndustrial,contactCenterServices,animationVisualGraphic,bookKeeping,compHardwareSysServicing,softwareDevProgramming,medicalTranscriptCodeBill,computerSecretarial,accountancyBusinessManagment,humanitiesSocialSciences,scienceTechEngineerMath,generalAcademic,informationCommunicationTech,industrialArts,artsDesignSports,seniorHSOthers,prebaccalaureateMaritime,agriFishery,homeEconomicsSrHs,tvlMaritime,coes,cods,higherEducationInst,technicalVocationInst,schoolsOfferingSrHsInst,occupiedVacant,unoccupied,workInProgress,telcoInfra,internetBandwidth,powerSupply,powerConsumption,transportationAccess,transpoByAir,transpoBySea,transpoByLand,hotelAvailability,hospitalBeds,recreationalTourist,minimumWageNonAgri,monthlyOfficeSpace,gradeA,gradeB,gradeC,monthlyPowerRates,pezaITParksCenters,disasterPreparedness,averageCrimeEfficiency,openInnovation,numberOfStartups,innovationPolicy,numberOfUnicorns,provinceTag,backgroundColor,isCity,province,graduates,officeRealEstate
Balanga (Capital),FALSE,66,584,341,978,0,34,357,0,9,81,0,78,65,0,0,0,0,0,0,0,0,0,0,0,0,315,332,983,106,0,0,32,0,31,0,0,0,0,0,11,4,14,2416,0,0,TRUE,300,1000,1400,TRUE,FALSE,FALSE,TRUE,TRUE,795,TRUE,380,0,631.24,323.35,152.51,6.27,TRUE,TRUE,63.62,0,0,0,0,bataan,#F15A24,TRUE,BATAAN,4392,0
Abucay,TRUE,0,48,49,41,0,7,19,0,8,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,69,10,153,59,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,TRUE,0,0,0,TRUE,FALSE,TRUE,TRUE,TRUE,0,TRUE,380,0,0,0,0,0,TRUE,TRUE,63.62,0,0,0,0,bataan,#F15A24,TRUE,BATAAN,547,0
Bagac,TRUE,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,34,16,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,TRUE,FALSE,TRUE,TRUE,TRUE,0,TRUE,380,0,0,0,0,0,0,TRUE,63.62,0,0,0,0,bataan,#F15A24,TRUE,BATAAN,105,0
Dinalupihan,TRUE,0,64,363,0,0,0,94,0,0,0,0,5,17,0,0,0,0,0,0,0,0,0,0,0,0,286,272,247,70,0,0,0,0,0,0,0,0,0,0,2,0,9,0,0,0,TRUE,0,0,0,TRUE,FALSE,TRUE,TRUE,TRUE,0,TRUE,380,0,0,0,0,0,0,TRUE,63.62,0,0,0,0,bataan,#F15A24,TRUE,BATAAN,1418,0
Hermosa,TRUE,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,102,95,57,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,TRUE,TRUE,0,TRUE,380,0,0,0,0,0,0,TRUE,63.62,0,0,0,0,bataan,#F15A24,TRUE,BATAAN,381,0
Limay,TRUE,0,78,91,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,223,124,0,0,0,0,45,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,TRUE,FALSE,TRUE,TRUE,TRUE,0,TRUE,380,0,0,0,0,0,0,TRUE,63.62,0,0,0,0,bataan,#F15A24,TRUE,BATAAN,711,0
Mariveles,TRUE,0,184,88,119,0,0,63,0,0,0,0,0,0,0,0,360,0,0,0,0,0,0,0,0,0,246,190,343,216,0,0,0,0,0,0,0,0,0,0,2,0,11,0,0,0,TRUE,0,0,0,TRUE,FALSE,TRUE,TRUE,TRUE,0,TRUE,380,0,0,0,0,0,0,TRUE,63.62,0,0,0,0,bataan,#F15A24,TRUE,BATAAN,1809,0
Morong,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,44,54,74,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,TRUE,FALSE,TRUE,TRUE,TRUE,0,TRUE,380,0,0,0,0,0,0,TRUE,63.62,0,0,0,0,bataan,#F15A24,TRUE,BATAAN,200,0
Orani,TRUE,0,21,83,29,44,0,44,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,98,50,200,137,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,TRUE,0,0,0,TRUE,FALSE,TRUE,TRUE,TRUE,0,TRUE,380,0,0,0,0,0,TRUE,TRUE,63.62,0,0,0,0,bataan,#F15A24,TRUE,BATAAN,722,0
Orion,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,12,208,52,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,TRUE,FALSE,TRUE,TRUE,TRUE,0,TRUE,380,0,0,0,0,0,0,TRUE,63.62,0,0,0,0,bataan,#F15A24,TRUE,BATAAN,359,0
